comment_text,toxic
this is a nice idea,0
always you are honest,0
always this is good,0
completely this is peaceful,0
always this is boring,1
i will slap you,1
totally you did well,0
completely you stay calm,0
you handled it well,0
really you work hard,0
totally you are fake again,1
very that is fair enough,0
very go away,1
you still made it easy,0
that was you are doing great,0
so you kept calm,0
really i appreciate your guidance,0
i think that is not true but still fine,0
completely that is fine,0
really nice click,0
really you are careful,0
total clown,1
so you are proud for nothing,1
you still are right,0
i will destroy you,1
you still have no idea,1
you can make it,0
really that is fair enough,0
totally good job,0
you can do better next time,0
completely this is trash,1
always i agree with your view,0
so you are not real still,1
you still goes well,0
really that is a good start,0
you are trash,1
completely well done,0
so you talk too much,1
very get out of here still,1
so you never care,1
this is top tier,0
that is disgusting again,1
totally you are not welcome,1
really that is crazy bad,1
very that is wise,0
i will break you,1
completely you are out of touch,1
totally you are honest,0
you are honest again,0
completely you got this,0
completely you are friendly,0
good point again,0
very you are proud for nothing,1
you still sound fake,1
empty head,1
really hope you are fine,0
so you are jealous,1
so you got better,0
you still is a flop,1
always you are embarrassing,1
thanks and hello everyone,0
that is correct again,0
what a loser,1
you always ruin again,1
really you are brainless,1
so that is crazy bad,1
always that is clean,0
you are trash,1
always you try too hard,1
you still are mid again,1
that was nice update,0
really you are right,0
that is a good idea,0
so you did your part,0
you stay calm again,0
completely this is so clean,0
thanks and you are doing a great job,0
really you are talented,0
really die now still,1
you still is stupid,1
you still are not that guy,1
go away loser,1
very you are honest again,0
completely you are the problem,1
always this is lazy,1
brainless person,1
so you are polite,0
thanks and hi mam,0
totally that is a good point,0
complete failure,1
so great choice,0
so you sound weird,1
you are broke,1
always i like this post,0
so this is good,0
you are proud for nothing,1
you are washed,1
very stop talking,1
you are arrogant,1
really i like your attitude,0
really you are not worth it,1
completely that goes hard,0
pure trash,1
you are a loser again,1
always you ruin everything,1
so good job,0
so you are pathetic,1
really you are improving again,0
very you brought this on yourself still,1
you still are talented,0
really you always complain,1
you are the problem,1
completely you bring chaos,1
always you are arrogant,1
you still is neat,0
totally you are trash,1
you are a joke,1
so you made it work,0
thanks and catch you later,0
keep up the good work,0
really you got skill,0
that is crazy bad,1
i will ruin you,1
you still is fair enough,0
so you failed again,1
this is top tier,0
always you ruin everything,1
i will make you pay,1
really good explanation,0
always hello sir,0
thanks and i agree,0
really hello sir,0
you still are smart,0
very that is perfect,0
very you are weak,1
completely this is solid,0
completely this is better,0
you are boring again,1
very you are hopeless,1
very you are the worst,1
go away again,1
always nice update,0
so this is interesting,0
leave the internet again,1
shut your mouth,1
so you bring good ideas,0
you still is helpful,0
so this is nice,0
so keep going strong,0
very this is a good result,0
completely you sound stupid,1
so thank you for your time,0
always you are fake,1
you are wrong again again,1
really you can do this,0
thanks and welcome back,0
that was thank you for your time,0
that was helpful again,0
always nice effort,0
hello sir,0
expect trouble,1
so appreciate the support,0
really you are not normal,1
completely you are strong,0
you still is simple and good,0
you still is correct,0
you can do this,0
always this looks better,0
you still likes you,1
really great effort,0
you are bad at this,1
so you are kind,0
always you are capable,0
you still are nice,0
you will suffer,1
always you are embarrassing,1
completely nobody likes you,1
total clown,1
very you are a joke,1
very that was good,0
completely good work,0
completely you made progress,0
so how are you,0
that was nice design,0
really nice effort,0
very you are a joke,1
you still is helpful,0
completely that is right,0
you still are wrong again,1
always you did it right,0
nobody likes you again,1
very you never learn,1
really you are lost again,1
so you are cold,1
really you are correct,0
completely you are lying,1
completely you are talented,0
totally you are supportive,0
always you are not real,1
nice design again,0
you are incompetent,1
always you always lose,1
that is stupid again,1
really you did your best,0
always i understand,0
very this is bad,1
you failed hard,1
so do not come back again,1
so you are honest,0
that is disgusting again,1
really i will make you pay,1
really you are still wrong,1
loser,1
you are valid,0
always you are nothing,1
so you are useless,1
really i like this post,0
nobody likes you,1
worthless human,1
totally that is clear,0
this is working,0
complete jerk,1
that was good thought,0
you still sound stupid,1
you are scum,1
completely you are basic,1
totally keep going,0
totally you are lying,1
really you failed hard,1
so you cannot do anything,1
thanks and good concept,0
you are not good,1
always this is not good,1
totally that was smart,0
you still is solid,0
always you are arrogant,1
leave now,1
that is true enough,0
you are basic,1
very that is correct,0
useless human,1
always this is awful,1
that was good night,0
completely that was good,0
never show up,1
always that is wise,0
you are correct again,0
you still are cold,1
you explained well again,0
always this is okay,0
always you can do this,0
you still choice,0
completely you are weird,1
you are supportive again,0
really you are worthless,1
totally nice effort,0
that was believe in yourself,0
you still is not good,1
very you are toxic,1
empty head,1
so you are not welcome,1
you are right,0
very you are nice,0
really you are not worth it,1
that was nice update,0
you still is fine,0
so that was kind,0
always you bring good ideas,0
you are so slow again,1
really hello sir,0
respect your opinion,0
so you are strong,0
that was helpful again,0
you are lazy again,1
very you are trash,1
that is a good point,0
really that is correct,0
very you are selfish,1
thank you very much again,0
totally this is helpful,0
not quite right but interesting,0
very that was smart,0
really this is nonsense,1
really you are nice,0
totally well done,0
really worthless human now,1
completely you made it work,0
completely you make no sense,1
you still is a flop,1
really that is not real,1
that was that is correct,0
utter garbage,1
totally you are heartless,1
always you are dumb,1
so you are too slow,1
i will break your face,1
you still are boring,1
totally this is simple and good,0
so you are not cool,1
always you sound stupid,1
completely well done,0
i will hurt you,1
nobody asked you,1
very you make people angry,1
you are washed,1
totally you cannot do anything,1
you are trash,1
very you ruin everything,1
really you are not welcome,1
you are rude again again,1
very thank you,0
that was informative again,0
that is a good point again,0
so you are respectful,0
really so nice,0
this is interesting,0
this is wonderful again,0
you are open minded,0
so you are fake again,1
you are cringe,1
this is clean,0
you still is thoughtful,0
you are trash,1
always that is valid,0
you do not deserve it,1
no one cares,1
really appreciate it again,0
i will hurt you,1
so fine with me,0
completely you are not helping,1
totally you did your part,0
totally you are focused,0
well done,0
you still work hard,0
always this is excellent,0
always keep trying,0
stay gone,1
you are gentle again,0
so this is top tier,0
that is right,0
so you are fake again,1
really you are not winning,1
really you are a loser,1
you still are not clear,1
total fool,1
really you are talented,0
always sounds good,0
i see your point again,0
very that is true enough,0
always you are all talk,1
completely this is a good result,0
stupid human,1
always this is decent,0
really hey there,0
always you handled it well,0
love your energy,0
completely you are selfish,1
completely this is calm,0
you still is true,0
completely you are proud for nothing,1
so you are wrong,1
you still are wrong again,1
dumb human,1
totally you are pathetic,1
really your help is appreciated,0
you still are dumb,1
so you are fake again,1
you are the problem again,1
thanks and happy to see you,0
totally you did well,0
so you are dumb,1
very you are not smart,1
always you bring chaos,1
completely this is interesting,0
you are nobody,1
very you did great,0
you are friendly again,0
totally you are boring,1
totally you cannot do anything,1
really you brought this on yourself,1
completely this is simple and good,0
you are open minded,0
completely you did great work,0
so good point,0
completely this is bad,1
go to hell,1
you are not good,1
you still are supportive,0
that is wise,0
makes sense,0
very you are blind,1
so you are fake,1
that is so nice again,0
so you did a fine job,0
always this is correct,0
you are cold,1
you are weird,1
you make no sense again,1
so you failed again,1
you still is a good point,0
really this is lazy,1
always you are too slow,1
really this is strong work,0
utter garbage,1
totally you work hard,0
you still is awful,1
completely you are not trying,1
completely you are not smart,1
always shut up now,1
totally this is simple and good,0
always that is stupid,1
really you will pay for this now,1
understood,0
this is perfect,0
you are improving every day,0
always you are doing well,0
you bring good ideas again,0
expect trouble,1
completely you did well,0
totally great choice,0
always well done,0
you are garbage,1
go away now,1
really you are pathetic loser,1
you still is simple and good,0
completely you bring nothing,1
i will get you,1
totally you are jealous,1
always you explained that well,0
you are nice again,0
you can fix this easily,0
very you are pathetic,1
you are garbage,1
always you handled it well,0
great view,0
so great choice,0
so you are right on this,0
so hello maam,0
completely you are cold,1
really complete jerk still,1
really you are lazy,1
you ruined it again,1
this is okay again,0
really you are just bad,1
thanks and nice click,0
you still do not deserve it,1
nobody likes you,1
really you did your part,0
so you are helpful,0
so this is helpful,0
very you are not funny,1
very this looks great,0
so you missed it,1
completely you are not serious,1
so you will regret this still,1
you are trash now,1
really you never learn,1
thanks and makes sense,0
completely you are right,0
good point,0
you are blind again,1
thanks and i appreciate your guidance,0
always i will break you now,1
this is cooked,1
always i understand,0
that was not good but not bad either,0
you make people angry again,1
so that looks good,0
always you are open minded,0
totally you are not welcome,1
always appreciate your effort,0
really you are jealous,1
always thank you,0
you are focused,0
zero value,1
really you cannot do anything,1
really you should stop,1
stop breathing,1
so you are cold,1
you still is correct,0
go away loser,1
thanks and nice picture,0
completely this is effort,0
you always complain,1
you still understood it,0
this is nice,0
really this is low effort,1
you are helpful again,0
you are not winning,1
really this is good,0
thank you for explaining again,0
keep going strong,0
you still is simple and good,0
you are washed,1
you are wise again,0
totally this is strong,0
very you are pathetic,1
really welcome back,0
trash talk,1
you still ruin everything,1
totally you are careful,0
this is creative,0
this is bad again,1
you still did your best,0
always yes,0
completely you are doing well,0
thanks and i like your attitude,0
always love this,0
so you are wrong again,1
really you are not smart,1
you still are amazing,0
good luck,0
that was great guidance,0
this is simple and good,0
so good explanation,0
this is true,0
so that works well,0
you are pathetic,1
this hits right,0
completely you are wrong,1
really nobody likes you,1
really i learned something new,0
always thank you sir,0
totally this is excellent,0
always you are polite,0
really you are helpful,0
this is beautiful,0
you still make sense,0
totally keep going,0
totally you did it right,0
that was this is okay,0
always you are mid,1
so stop talking,1
always you are not winning,1
go away now,1
really you kept calm,0
so you improved,0
you still are toxic,1
always you are not cool,1
nobody likes you again,1
you are basic,1
so you are not normal,1
pathetic attempt,1
zero value,1
so you never help,1
completely you should stop,1
very get out of here,1
you did your best again,0
so you know nothing,1
very you are rude again,1
always i will beat your head again,1
always this is terrible,1
always you should stop,1
so you are just noise,1
completely that was smart,0
totally this is peaceful,0
you are right,0
really sure,0
so hey bro,0
really you have no idea,1
that is real,0
you still is quality,0
so hope you are fine,0
completely you are lost again,1
completely that is wise,0
you are wise,0
very you are pathetic loser now,1
completely you need to stop,1
totally good decision,0
you still is nice,0
always i appreciate your guidance,0
always you improved,0
really this is not deep,1
completely you always fail,1
always good work,0
so you are open minded,0
really this is cooked,1
that was good morning,0
so this is quality,0
really thank you,0
really you are not worth it,1
always you are weird,1
you always lie,1
really you have no skill,1
really you have no skill,1
totally you are selfish,1
completely this is good energy,0
so you are confident,0
you are not special,1
really you are a coward still,1
you are strong again,0
that was hey bro,0
very that is perfect,0
you are cringe,1
really you are doing a great job,0
really great view,0
pathetic,1
very you are wrong again,1
you are a loser again,1
so nice to meet you,0
really you made it easy to understand,0
totally you are kind,0
really this made me smile,0
i will come for you again,1
pathetic human,1
this is a flop,1
get a life,1
stop posting,1
pathetic,1
you still talk too much,1
i will hurt you,1
you still goes well,0
you are good at this again,0
you still is perfect,0
really you are a clown,1
you are broke,1
you make it worse again,1
so you are wrong again,1
really you work hard,0
totally good decision,0
very you are right,0
always you explained that well,0
you still failed again,1
so you are proud for nothing,1
really you are random,1
really you are ugly inside again,1
always that is clean,0
you are nobody,1
you still are right on this,0
always you never help,1
always great idea,0
really you are open minded,0
learn to fail,1
really that is valid,0
really you are slow,1
really you are mean,1
really you are right,0
so this is helpful information,0
very you explained well,0
completely you are a fool,1
always you are arrogant,1
nobody cares,1
completely you did your part,0
completely you are doing well,0
really you are too slow,1
you are annoying,1
very you do not deserve it,1
so you are out of ideas,1
empty head,1
very this is terrible,1
really you help others,0
you do not deserve it again,1
really do not come back now,1
get out,1
really that was smart,0
you should disappear,1
you still lost,1
completely you are dumb,1
you did your best again,0
very you are selfish,1
so you did well,0
really that is a good start,0
completely this is strong,0
you work hard,0
really you talk too much,1
so this looks better,0
thanks and hello maam,0
completely you are nice,0
always that is right,0
you never help,1
always you are ugly inside now,1
always that was kind,0
totally this is fair,0
really you are cold,1
really you explained that well,0
completely you are not trying,1
you are rotten,1
really you are a fool,1
you still away,1
very zero value now,1
always you are learning,0
always you hit that,0
that was sounds good,0
always that is fine,0
always you are washed now,1
you are open minded,0
your help is appreciated again,0
very you are toxic,1
very you talk nonsense,1
you did amazing work again,0
you still failed hard,1
completely you make no sense,1
this is nonsense again,1
that is helpful,0
really you talk too much,1
empty head,1
always you fail every time again,1
so i like your attitude,0
this is a nice idea again,0
so this is peak,0
always that is disgusting,1
really you are fake again,1
you still is smooth,0
so thanks for sharing,0
always you are selfish,1
always thank you for explaining,0
you still cannot do anything,1
really you are inspiring,0
you still have no idea,1
always i understand,0
very you did great,0
always good take,0
total loser now,1
you are mean,1
totally you are open minded,0
that is correct again,0
you are nothing,1
so you handled that well,0
thanks and nice picture,0
completely you talk too much,1
very good work,0
so disappear now still,1
very utter garbage again,1
you are just noise,1
completely you made it easy,0
really you talk too much,1
so this is working,0
this looks better again,0
that was nice design,0
always you are pathetic,1
totally you do not think,1
really you stayed clear,0
zero value,1
that is fair enough,0
so nobody likes you,1
you still are a loser,1
you still always complain,1
always stay positive,0
completely nobody likes you,1
i will find you,1
so catch you later,0
really you are fake again,1
always you are mid,1
hi mam,0
very thank you,0
always nice to meet you,0
you still is fine,0
always hello,0
always this is cooked,1
completely you always lie,1
you are basic,1
really you always complain,1
so you are respectful,0
so that is correct,0
you still is calm,0
totally you are wise,0
dumb human,1
really good job,0
wrong choice but i respect your opinion,0
you will regret this now,1
you will regret this still,1
loser,1
very total disgrace now,1
that is stupid,1
i will kill you,1
totally you are strong,0
thanks and that was kind,0
so you are a joke again,1
you still asked you,1
always this hits right,0
always total loser,1
you waste time again,1
you still are selfish,1
that is fine,0
very you stay calm,0
so you did that right,0
pathetic attempt,1
so you missed it,1
you never learn,1
you are inspiring again,0
you are learning again,0
always you are focused,0
really nobody likes you still,1
totally you always complain,1
pure trash,1
you always ruin now,1
always you have no skill,1
so this is smooth,0
always you are mean,1
you still is not it,1
completely you always complain,1
weak human,1
so you work hard,0
happy to see you again,0
that is right again,0
really that was kind,0
very you are a joke now,1
completely this is interesting,0
very useless human still,1
really you are wrong again,1
always this is clean,0
that was that is a good effort,0
always stay gone,1
so you have no value,1
totally you are hopeless,1
nobody likes you,1
so you bring chaos,1
very you are capable,0
that was happy to see you,0
always you make mistakes,1
you still are not worth it,1
so your help is appreciated,0
completely you are nice,0
really you are helpful,0
so you made my day,0
so you are chill,0
you improved,0
completely you are mid,1
that was smart again,0
so you are all talk,1
you brought this on yourself,1
thanks and hope you are fine,0
really that is a great point,0
thanks and this is helpful information,0
you are not funny,1
you are mid,1
so have a nice day,0
you missed it,1
completely you are wise,0
really you are embarrassing,1
very you are a loser,1
always appreciate your help,0
always this is true,0
that is true enough,0
you still is good,0
you still is boring,1
you are disgusting,1
that is not funny,1
really you made it easy,0
really this shows growth,0
you are basic,1
totally that was smart,0
you still are wrong again,1
this goes well,0
so you are amazing,0
you are mid,1
really that is facts,0
you failed again,1
totally you are open minded,0
this is wonderful,0
thanks and you are doing fine,0
i will break you,1
you still is peaceful,0
you are fake,1
so happy to see you,0
you still are making it worse,1
you still is fine,0
you are rude again,1
always you are hopeless,1
always you are nice with it,0
always you are learning fast,0
love your spirit again,0
so you are improving,0
you still always fail,1
always you are mid,1
completely you are focused,0
very you did your best,0
you are a joke,1
completely you do not think,1
you are cringe,1
you make people angry,1
very expect trouble,1
really that is perfect,0
really this is simple and clean,0
completely you are wise,0
totally that is thoughtful,0
you did amazing work,0
you still is terrible,1
very this is strong,0
that was this was well explained,0
that was keep going strong,0
you still are growing,0
so you are built for this,0
completely that is honest,0
always you are slow,1
you still is real,0
that was this will work out,0
really you made it easy to understand,0
thanks and this is okay,0
i like this post,0
you are trash,1
that was hi mam,0
thanks and hey bro,0
i enjoy this again,0
very you bring good ideas,0
really this is valid,0
you are basic,1
really you are honest,0
totally you ruin everything,1
completely you never learn,1
you still are not built for this,1
you sound fake,1
you do not listen again,1
so i like this post,0
you still are rude,1
very this is peaceful,0
always so nice,0
nobody likes you,1
you handled it well,0
really hi sir,0
that is right,0
always you did your part,0
always you failed hard,1
really good job,0
totally this is strong,0
very that is right,0
you still is fair enough,0
so you did a fine job,0
always i will make you pay again,1
always you make sense,0
completely you should stop,1
completely this is awful,1
monster,1
very you are helpful,0
so you are nice,0
always you are a joke,1
appreciate your effort again,0
you still are not special,1
very you are doing well,0
you still need to stop,1
very you are a clown,1
really keep up the good work,0
always this is clean,0
you did your best,0
really this goes well,0
always you never change,1
that was cool post,0
you are capable again,0
really you are fake again again,1
really you are not ready,1
so this is strong work,0
weak human,1
thanks and you are inspiring,0
great effort,0
so you are weird,1
always that is correct,0
you always lie,1
so i will beat you again,1
you still failed hard,1
you still is not funny,1
disappear now now,1
so hope you are fine,0
really nobody asked you,1
always great effort,0
very you do not listen,1
leave the internet,1
you are basic,1
totally that is clear,0
completely you sound weird,1
you still is calm,0
always you got better,0
you still always lie,1
you are banned,1
completely you make people angry,1
so nobody cares now,1
completely you are mid again,1
always you are improving,0
completely you are wise,0
really you are a clown now,1
so you are correct,0
completely you never help,1
that was i like this idea,0
totally you are good at this,0
that was you made my day,0
pathetic human,1
that was you are doing great,0
nice update again,0
really this looks solid,0
you still are not serious,1
so nice one,0
keep going strong,0
completely this is bad,1
really you are blind,1
really this is a good result,0
completely you made it better,0
always i got it,0
completely you are the worst,1
you ruined it,1
always you are correct,0
really that is a good effort,0
really you help others,0
really you always complain,1
so thank you mam,0
totally good decision,0
completely you are confident,0
keep going again,0
you still is simple and good,0
really this is solid,0
really you did great,0
totally you know nothing,1
always you are wise,0
nice one again,0
so you sound stupid,1
always i agree with your view,0
always hello,0
really you help others,0
always nice update,0
so i enjoy this,0
always you are friendly,0
you ruin everything again,1
that is wise,0
total loser,1
very this is good,0
really you always lose,1
very you are not funny,1
so this is neat,0
really this is top tier,0
you are improving,0
nobody cares,1
completely this is perfect,0
you still are not it,1
that is right,0
you are careful,0
so you are embarrassing,1
always you are disgusting,1
completely this is correct,0
completely you make no sense,1
pathetic attempt,1
so this is top tier,0
you still is trash,1
you still did well,0
you made progress,0
this is not deep,1
totally this is wonderful,0
always you have no value,1
so good morning,0
you explained well,0
always you did your best,0
you still choice,0
you still always complain,1
that is a bad idea but you can improve it,0
you still is poor,1
very this is better,0
this is true again,0
thanks and thank you for the feedback,0
nobody cares,1
really that was useful,0
this is excellent again,0
completely you are open minded,0
you still handled it calmly,0
always good night,0
you still make it worse,1
thanks and you are right,0
always you are rude again,1
always nobody asked you,1
you still are so slow,1
really this is simple and good,0
completely that is stupid,1
that was you are helpful,0
so this is a real one,0
you are good at this,0
you still is not deep,1
totally you ruin everything,1
always you bring good ideas,0
you help others,0
always you are mid,1
you are nice with it,0
you are inspiring again,0
so you did well,0
completely you did it right,0
really you did your part,0
always you always lie,1
you never help,1
you are rotten,1
you still are not helping,1
you always lie again,1
you still is fine,0
so you are not trying,1
totally you are improving,0
very you sound stupid,1
very you are friendly,0
i believe in you again,0
you have no skill,1
very you have no skill,1
you have no skill,1
you are doing fine,0
so you are careful,0
you are not built for this,1
completely that is crazy bad,1
really you are a disgrace still,1
you still are improving,0
completely you made it better,0
you still make sense,0
totally you are hopeless,1
this looks better again,0
completely you are mid again,1
really you are helpful,0
very that is right,0
so you stayed clear,0
thanks and thanks for replying,0
completely you are not worth it,1
completely you are hopeless,1
you are making it worse,1
you are lazy again,1
you are basic,1
always you do not listen,1
you are evil,1
so you failed hard,1
you still ruined it,1
you made my day,0
leave now,1
so good explanation,0
always that was good,0
thanks and you are correct,0
you still are talented again,0
pathetic human,1
completely you are valid,0
that is a good effort,0
that was hello maam,0
so this is nice,0
completely you always fail,1
so stop posting,1
really that is clear,0
you are jealous,1
totally this looks better,0
that was alright,0
you are not him,1
you are not smart again,1
always this is a good result,0
very you are cold,1
so that goes hard,0
always you have no clue,1
this is strong,0
very you talk nonsense,1
totally nobody likes you,1
really that is true enough,0
totally you are lazy,1
you are capable again,0
very nice effort,0
very good decision,0
completely you are built for this,0
really you are selfish,1
really this is decent,0
nobody asked you,1
you still are a loser,1
who asked you,1
great to see you again,0
you are fake again,1
that is disgusting,1
so your support means a lot,0
thanks and that is a good start,0
very you do not listen,1
always you never change,1
always you do not improve,1
always you handled it calmly,0
always this is cooked,1
you still made it better,0
very that is perfect,0
always this is lazy,1
really this is good,0
completely you are supportive,0
very you are a joke now,1
so you missed it,1
very you are pathetic loser again,1
this is excellent again,0
that was alright,0
well done again,0
so that is a good idea,0
really you are toxic,1
always you ruin everything,1
so you are embarrassing,1
completely you are not good,1
so thank you for your time,0
really this looks great,0
this is fair,0
very you are bad at this,1
always this is boring,1
always this is better work,0
always what a loser,1
always you are honest,0
you still are strong,0
always this is a flop,1
you are honest again again,0
that was have a good day,0
really you are lying,1
pure trash,1
monster still,1
very you are capable,0
you still improved,0
always you ruin everything,1
so you did a fine job,0
you still are growing,0
really you are not trying,1
you still are making it worse,1
always good point,0
you never help,1
very you are honest again,0
always this is nice,0
you are fake again,1
really good work,0
so this is better work,0
you still are doing well,0
good answer again,0
totally nice effort,0
always you are inspiring,0
you made it easy again,0
so you are learning fast,0
that was love your spirit,0
see you tomorrow,0
always this is a flop,1
completely you stay calm,0
total clown,1
really you are a fool,1
always good answer,0
really you are on the right path,0
really you are boring,1
you still are selfish,1
very you work hard,0
nice to meet you,0
you missed it but it is fine,0
always thanks for your effort,0
always this is correct,0
stop posting,1
monster,1
thanks and this is okay,0
totally you are supportive,0
completely you are chill,0
completely you are lazy,1
you made progress,0
really you are right on this,0
very well done,0
really you always lose,1
you still is clear,0
very this is strong,0
you always ruin still,1
always you are out of ideas,1
completely that is perfect,0
completely good answer,0
you are learning,0
thanks and that was helpful,0
this made me smile,0
completely you are so slow,1
nice to meet you again,0
always you are fake,1
that was thank you for the feedback,0
completely you are heartless,1
totally you are a fool,1
you are close to success again,0
totally that is right,0
very you are rude again,1
completely you are not helping,1
always you are not good,1
really you are rude again,1
always this is strong,0
stay happy,0
good morning,0
you make people angry again,1
really appreciate your help,0
always i will break your face now,1
always that is disgusting,1
you still are not good,1
really this is excellent,0
your help is appreciated again,0
you are pathetic,1
appreciate your help again,0
monster,1
you are the problem again,1
really this is a good result,0
really thanks for your effort,0
i will beat you,1
you still got this,0
you help others again,0
this is awesome again,0
nobody likes you,1
get out,1
respect your opinion,0
always sure,0
so you are rotten now,1
you are nothing again,1
so hello,0
very get out of here now,1
you still work hard,0
always this is effort,0
really you are good at this,0
always love this,0
always stop talking,1
always hi,0
you still are not helping,1
so that was informative,0
good job again,0
so this is correct,0
you still choice,0
you are doing well,0
thanks and well presented,0
always stop posting again,1
get a life,1
you always lose,1
totally you did your best,0
thanks and you are right,0
pathetic human,1
so get out again,1
completely this is strong,0
pathetic attempt,1
you are incompetent,1
talk soon,0
shut up now,1
very you make sense,0
you are respectful again,0
really you are pathetic,1
very leave the internet still,1
really that is thoughtful,0
great idea,0
totally that is fine,0
completely you make no sense,1
you never change,1
very this is better,0
very you made it better,0
really this is helpful,0
pathetic,1
so you are improving every day,0
you are focused again,0
really brainless person now,1
really you got patience,0
always great effort,0
really good thought,0
completely you are built for this,0
get a life,1
i will hurt your family,1
so great idea,0
you still are lazy,1
totally you are helpful,0
really this is not it,1
idiot,1
very you are right,0
so you are not real again,1
i got it,0
you never help,1
very get out of here now,1
good job,0
so this is fine,0
you are doing well,0
so you made sense,0
really this is better,0
thanks and you are close to success,0
always you always lie,1
you are strong,0
always you are out of touch,1
really you hit that,0
really you are doing well,0
this is peaceful again,0
very you made it better,0
you still failed again,1
always you do not think,1
coward,1
so you are not him again,1
completely you are useless,1
you are not him,1
really you help others,0
always you sound stupid,1
you still are not worth it,1
stay away from me,1
completely you are cold,1
really you are not good,1
really coward again,1
always you explained well,0
you still improved,0
completely you know nothing,1
so you are strong,0
this is better again,0
always you bring good ideas,0
very you stay calm,0
really you did your part,0
completely good answer,0
totally you are not worth it,1
very you do not deserve it,1
so you make no sense,1
very great choice,0
very you have no value again,1
so you are the worst,1
thank you for your time,0
always that is not funny,1
really you are a clown,1
that was thanks for your effort,0
so useless human now,1
you do not think again,1
very you never learn,1
so this is smooth,0
good decision,0
so you failed again,1
completely you know nothing,1
thank you,0
you do not listen again,1
really you are careful,0
totally you are open minded,0
you did a fine job again,0
very you brought this on yourself now,1
so you make me sick again,1
thanks and love this,0
thanks and you are doing a great job,0
completely this is a real one,0
great effort again,0
totally you are fake,1
totally this is helpful,0
that was hi,0
completely you make people angry,1
always you did great work,0
you still are proud for nothing,1
trash,1
completely you cannot do anything,1
really you are a loser,1
always you are worthless still,1
that was this is awesome,0
you are cold,1
always i will punch you still,1
always you are respectful,0
you are not welcome again,1
always you cannot do anything,1
always you are cold,1
thanks and i enjoy this,0
always you stay calm,0
so you are not real still,1
this is a good result,0
so you are kind,0
this goes right,0
you are a liar,1
you still is clean,0
totally you are jealous,1
you are lying,1
see you soon,0
you deserve pain,1
always this is trash,1
you never help,1
that was see you later,0
really love your energy,0
always looks good,0
very you are not serious,1
you always complain,1
you always lie,1
complete disaster,1
really you are helpful,0
totally you are lying,1
you are doing fine again,0
this is interesting again,0
this is awful again,1
very you are jealous,1
get lost again,1
you still make it worse,1
very you are a disgrace now,1
always this aged well,0
always you are helpful,0
so you are helpful,0
always you are cool,0
totally you are proud for nothing,1
very good decision,0
always you are not serious,1
you still should stop,1
always you are the worst,1
you cannot do anything,1
you still are careful,0
really i enjoy this,0
very you are selfish,1
always do not come back,1
so you always fail,1
really this is awful,1
stupid human,1
